id;issue_id;issue_uuid;username;role_key;role_weight;assigned_by_username;department_key;department_weight;created;modified;accepted;microapp_left;closed;archived
1;65754;80c678af-5e0c-4c03-bb5c-e961b3b48bcb;e-business Market payment;Ergonomic flexibility;91887;District Berkshire Berkshire;Oklahoma Borders Plastic;22003;2023-02-07T15:14:02;2023-02-07T03:35:12;2023-02-07T03:40:49;2023-02-06T21:49:02;2023-02-07T03:42:05;2023-02-07T09:33:17
2;80017;f93e6a32-4e10-4602-8e60-0c6cdc839ff8;web-enabled cyan Indiana;Representative Tools;71571;Account Loan Home;24 Trace;28591;2023-02-07T08:55:04;2023-02-07T06:14:18;2023-02-07T03:02:20;2023-02-06T18:45:21;2023-02-06T20:00:16;2023-02-07T03:32:25
3;47490;10091926-5c6a-4dab-9f1c-2420549cec7c;bus;yellow PNG Officer;89103;applications composite;Loan;11531;2023-02-06T19:16:18;2023-02-07T02:25:34;2023-02-07T08:19:38;2023-02-07T06:47:10;2023-02-07T00:56:30;2023-02-07T11:10:25
4;99969;b55afbe4-024e-406b-b350-f5f97b1aed04;Regional panel purple;Officer deposit Ergonomic;29911;Indonesia middleware;Computers disintermediate program;59333;2023-02-06T21:28:38;2023-02-07T03:48:53;2023-02-06T21:18:06;2023-02-07T09:38:30;2023-02-07T06:53:41;2023-02-07T05:46:58
5;19993;8a699b72-1158-44b9-9013-7f48e863df10;Greenland;program deposit Station;85365;firewall;enterprise overriding collaboration;37013;2023-02-07T01:05:56;2023-02-07T08:19:33;2023-02-07T09:42:11;2023-02-07T01:07:36;2023-02-06T22:17:37;2023-02-07T07:28:33
6;85430;74de0a36-6285-4641-853e-e3f7c8e9021d;Wooden;e-services Rubber eyeballs;41019;Cambridgeshire;RAM;1953;2023-02-07T16:47:33;2023-02-06T19:20:20;2023-02-07T02:54:47;2023-02-07T00:53:12;2023-02-07T00:09:28;2023-02-07T10:02:05
7;95009;a6a2fca7-7355-43c1-b326-4da7ff401856;McDonald;seamless;47280;Directives algorithm overriding;Cotton Data yellow;77443;2023-02-07T07:30:09;2023-02-07T07:57:44;2023-02-07T16:34:04;2023-02-06T21:39:27;2023-02-07T04:47:06;2023-02-07T12:55:19
8;4705;f23e750a-93f3-4708-a0bc-fccc45f11bd0;Borders XML Steel;compressing Maine;80114;Frozen incubate Bike;Soap;50965;2023-02-07T02:22:55;2023-02-07T05:12:12;2023-02-07T07:23:08;2023-02-06T19:36:44;2023-02-06T20:22:57;2023-02-07T05:57:20
9;15374;229eaa73-05fe-4fa3-9bac-5e0c0185b9d6;cross-platform and algorithm;Plaza;24349;solutions HTTP;green;81420;2023-02-07T14:44:38;2023-02-07T08:38:43;2023-02-07T08:25:50;2023-02-07T16:48:00;2023-02-06T23:56:29;2023-02-06T21:56:15
10;81386;2747305c-c460-40c1-a404-5b1ec78daa52;plum array Dinar;Jersey Health;83459;Licensed;synthesize input Mountain;77395;2023-02-07T13:33:21;2023-02-07T10:12:47;2023-02-07T11:59:33;2023-02-07T02:26:51;2023-02-07T03:11:29;2023-02-07T16:52:36
