id;username;user_first_name;user_last_name;user_display_name;title;content;type_key;workflow_status_key;priority_level;tags;total_comments;uuid;created;modified;updated;closed;archived
1;admin;bus;Granite;generate Planner;Quality;../fake-data/blob/hipster.txt;ISSUE;OPEN;1;../fake-data/blob/tags.txt;2;69234aaf-602b-4554-9ec1-e76a20901a03;2023-02-07T11:33:56;2023-02-07T19:02:43;2023-02-07T05:01:42;2023-02-07T06:36:22;2023-02-07T11:54:36
2;admin;driver;Fantastic;Soft Afghani;Zloty deposit;../fake-data/blob/hipster.txt;Compatible redundant ROI;Small Chief;80954;../fake-data/blob/hipster.txt;69079;2237fc87-6a9b-46a2-849b-f36560909e96;2023-02-06T21:42:39;2023-02-06T22:10:02;2023-02-06T19:51:17;2023-02-07T04:12:03;2023-02-07T02:32:04
3;Fully-configurable;Avon Marketing attitude-oriented;Data Beauty;Sausages;transmit;../fake-data/blob/hipster.txt;Licensed;XML;64804;../fake-data/blob/hipster.txt;73479;d20aee27-e166-4fba-95d0-10db115db6e6;2023-02-07T16:39:50;2023-02-07T02:06:58;2023-02-07T14:52:24;2023-02-07T15:41:00;2023-02-07T04:43:37
4;Bridge;Extended;impactful multi-byte;Israeli;transmitter;../fake-data/blob/hipster.txt;online;emulation bricks-and-clicks Consultant;20911;../fake-data/blob/hipster.txt;57842;ffe5592d-3285-4a25-ba0a-46af81deab8c;2023-02-07T09:03:55;2023-02-07T14:14:45;2023-02-07T17:54:09;2023-02-07T06:02:51;2023-02-07T20:47:13
5;navigating Games;THX Legacy Sports;Corporate Sports;indexing turn-key Legacy;Ball Montserrat;../fake-data/blob/hipster.txt;Account Shoals systems;haptic Washington compressing;19312;../fake-data/blob/hipster.txt;93409;ce464228-737d-4825-9f39-256994e4a816;2023-02-07T10:45:08;2023-02-07T09:35:51;2023-02-07T03:53:45;2023-02-07T17:49:29;2023-02-07T04:05:26
6;Car Steel Cedi;overriding Plastic synthesize;Agent Dakota Metal;HTTP;payment Bacon;../fake-data/blob/hipster.txt;Gloves California Borders;connecting;80436;../fake-data/blob/hipster.txt;83916;ed6441ae-17db-48af-b431-c7964dadd456;2023-02-07T04:22:33;2023-02-07T02:45:39;2023-02-07T11:45:28;2023-02-06T23:27:30;2023-02-07T04:13:06
7;solution back-end Nakfa;methodical;JBOD auxiliary solid;Lebanon drive;Organic;../fake-data/blob/hipster.txt;Gorgeous programming Cape;time-frame;98728;../fake-data/blob/hipster.txt;3989;c42f77eb-6892-4b55-a7ef-744b2c1268f3;2023-02-07T00:14:06;2023-02-07T03:42:30;2023-02-07T09:37:17;2023-02-07T15:26:37;2023-02-07T08:18:29
8;withdrawal IB;Metal incremental;front-end middleware Vista;input;azure wireless connecting;../fake-data/blob/hipster.txt;reintermediate Pines JSON;payment Fish withdrawal;88658;../fake-data/blob/hipster.txt;46935;ada79f82-1ec1-4e25-a7d1-c3a2f93e895a;2023-02-07T09:37:54;2023-02-06T23:47:55;2023-02-06T23:48:50;2023-02-07T20:19:32;2023-02-07T03:31:29
9;Borders Rustic Marks;wireless Senior;Nauru supply-chains Facilitator;monitoring;Licensed definition;../fake-data/blob/hipster.txt;Research Account;even-keeled Avon;17822;../fake-data/blob/hipster.txt;29249;9c21f4a2-1358-499e-a179-846d38b755a3;2023-02-07T12:35:46;2023-02-07T08:11:38;2023-02-07T05:54:34;2023-02-07T05:59:23;2023-02-07T01:45:39
10;SMS;Specialist Practical AI;Loaf Open-source;Forges Dakota Licensed;24/365;../fake-data/blob/hipster.txt;Checking Soft;Cambridgeshire;10093;../fake-data/blob/hipster.txt;69208;c909f51a-3ac5-4608-ab89-99ecf36c59d2;2023-02-07T14:07:05;2023-02-07T11:40:00;2023-02-07T07:01:27;2023-02-07T03:13:07;2023-02-07T08:30:39
