id;issue_id;issue_uuid;username;role_key;role_weight;is_manager;department_key;department_weight;assigned_by_username;created;modified;accepted;microapp_left;closed;archived
1;65754;80c678af-5e0c-4c03-bb5c-e961b3b48bcb;e-business Market payment;Ergonomic flexibility;91887;true;Avenue generate implement;56606;Optimization Games Steel;2023-02-07T01:29:38;2023-02-07T07:22:41;2023-02-07T13:13:53;2023-02-07T01:48:10;2023-02-06T22:24:12;2023-02-07T06:23:56
2;21789;e6a324e1-0602-48e6-80c6-cdc839ff8b4f;cyan;discrete Representative;2903;false;monitor;19162;Loan Home morph;2023-02-07T20:28:49;2023-02-07T09:31:35;2023-02-07T00:13:13;2023-02-07T19:04:33;2023-02-07T14:08:42;2023-02-07T12:35:40
3;46216;9fe97100-9192-465c-aada-b1f1c2420549;Forward digital RSS;Fantastic;76710;false;Fish Berkshire Computers;9164;Loan;2023-02-07T18:14:22;2023-02-06T22:56:54;2023-02-07T06:06:10;2023-02-07T12:00:14;2023-02-07T10:27:46;2023-02-07T04:37:06
4;25652;fb55afbe-4024-4e06-b735-0f5f97b1aed0;Agent;panel purple Usability;35049;true;blue;27359;real-time;2023-02-06T22:02:59;2023-02-07T13:51:26;2023-02-07T06:02:19;2023-02-07T18:12:00;2023-02-06T23:54:00;2023-02-07T20:30:31
5;26298;5661b3b9-d9d5-4673-8a69-9b7211584b91;Intelligent;Global Stand-alone;6297;false;Greenland;94713;HDD Keyboard auxiliary;2023-02-07T15:27:46;2023-02-07T04:03:39;2023-02-07T08:31:17;2023-02-07T00:35:04;2023-02-07T04:22:30;2023-02-07T12:35:46
6;76043;ad3243c5-a65a-4c6d-b4de-0a3662856414;Total silver;Cambridgeshire Games hacking;18620;false;infomediaries;32522;Rubber eyeballs partnerships;2023-02-06T23:48:51;2023-02-07T20:37:35;2023-02-07T17:52:49;2023-02-07T00:01:13;2023-02-07T18:31:03;2023-02-07T09:02:27
7;1953;0e9ab4fa-6a2f-4ca7-b355-3c173264da7f;actuating Guadeloupe Awesome;Pants online Directives;32392;false;overriding back;43987;America Cape;2023-02-06T21:46:14;2023-02-07T02:25:14;2023-02-07T11:10:45;2023-02-07T11:38:20;2023-02-07T20:14:40;2023-02-07T01:20:03
8;52271;20f23e75-0a93-4f37-88e0-bcfccc45f11b;Industrial Dakota Avon;Account;25707;true;open-source hack;55231;Vermont Synchronised;2023-02-07T16:48:18;2023-02-07T06:53:03;2023-02-07T11:22:51;2023-02-07T08:46:31;2023-02-07T06:03:31;2023-02-07T08:52:48
9;41436;ed72229e-aa73-405f-afa3-dbac5e0c0185;South National back-end;algorithm hierarchy;20129;false;solutions HTTP;23619;Soft;2023-02-07T12:06:26;2023-02-07T20:28:36;2023-02-07T03:37:05;2023-02-07T01:36:51;2023-02-07T01:28:28;2023-02-07T16:43:33
10;49300;47305cc4-600c-41e4-845b-1ec78daa52e3;Fish Programmable;Loan TCP transmitting;7427;true;PCI;35544;bypass Belarus Gloves;2023-02-07T06:07:27;2023-02-07T06:52:05;2023-02-07T20:33:12;2023-02-07T19:37:13;2023-02-07T00:10:26;2023-02-07T13:16:25
