id;priority_level;priority;color;icon
1;84849;Taiwan;indigo;info-mediaries TCP
2;60434;Rustic Team-oriented calculate;salmon;Soap invoice white
3;94897;Investor flexibility;pink;Personal
4;47640;ADP Garden;grey;Factors salmon Garden
5;19283;Account;orange;Future group Nigeria
6;88657;Virtual customized JBOD;maroon;function contingency
7;76297;Checking Macao;black;Steel synthesize concept
8;65936;Function-based encompassing;indigo;action-items sensor framework
9;23021;experiences Keyboard Avon;turquoise;bypassing Regional
10;26693;enhance Account;white;Plastic
