id;username;user_first_name;user_last_name;user_display_name;title;content;type_key;workflow_status_key;priority_level;tags;total_comments;uuid;created;modified;updated;closed;archived
1;out-of-the-box Grocery SMTP;bus;Granite;generate Planner;Quality;../fake-data/blob/hipster.txt;Licensed;invoice Checking;36297;../fake-data/blob/hipster.txt;42351;69234aaf-602b-4554-9ec1-e76a20901a03;2023-02-01T03:34:14;2023-02-01T11:03:01;2023-01-31T21:02:00;2023-01-31T22:36:40;2023-02-01T03:54:54
2;archive;driver;Fantastic;Soft Afghani;Zloty deposit;../fake-data/blob/hipster.txt;Compatible redundant ROI;Small Chief;80954;../fake-data/blob/hipster.txt;69079;2237fc87-6a9b-46a2-849b-f36560909e96;2023-01-31T17:23:33;2023-01-31T17:50:56;2023-01-31T15:32:11;2023-01-31T23:52:57;2023-01-31T22:12:58
3;Fully-configurable;Avon Marketing attitude-oriented;Data Beauty;Sausages;transmit;../fake-data/blob/hipster.txt;Licensed;XML;64804;../fake-data/blob/hipster.txt;73479;d20aee27-e166-4fba-95d0-10db115db6e6;2023-02-01T08:40:08;2023-01-31T18:07:16;2023-02-01T06:52:42;2023-02-01T07:41:18;2023-01-31T20:43:55
4;Bridge;Extended;impactful multi-byte;Israeli;transmitter;../fake-data/blob/hipster.txt;online;emulation bricks-and-clicks Consultant;20911;../fake-data/blob/hipster.txt;57842;ffe5592d-3285-4a25-ba0a-46af81deab8c;2023-02-01T01:04:13;2023-02-01T06:15:03;2023-02-01T09:54:27;2023-01-31T22:03:09;2023-02-01T12:47:31
5;navigating Games;THX Legacy Sports;Corporate Sports;indexing turn-key Legacy;Ball Montserrat;../fake-data/blob/hipster.txt;Account Shoals systems;haptic Washington compressing;19312;../fake-data/blob/hipster.txt;93409;ce464228-737d-4825-9f39-256994e4a816;2023-02-01T02:45:26;2023-02-01T01:36:09;2023-01-31T19:54:03;2023-02-01T09:49:47;2023-01-31T20:05:44
6;Car Steel Cedi;overriding Plastic synthesize;Agent Dakota Metal;HTTP;payment Bacon;../fake-data/blob/hipster.txt;Gloves California Borders;connecting;80436;../fake-data/blob/hipster.txt;83916;ed6441ae-17db-48af-b431-c7964dadd456;2023-01-31T20:22:51;2023-01-31T18:45:57;2023-02-01T03:45:46;2023-01-31T15:27:48;2023-01-31T20:13:24
7;solution back-end Nakfa;methodical;JBOD auxiliary solid;Lebanon drive;Organic;../fake-data/blob/hipster.txt;Gorgeous programming Cape;time-frame;98728;../fake-data/blob/hipster.txt;3989;c42f77eb-6892-4b55-a7ef-744b2c1268f3;2023-01-31T16:14:24;2023-01-31T19:42:48;2023-02-01T01:37:35;2023-02-01T07:26:55;2023-02-01T00:18:47
8;withdrawal IB;Metal incremental;front-end middleware Vista;input;azure wireless connecting;../fake-data/blob/hipster.txt;reintermediate Pines JSON;payment Fish withdrawal;88658;../fake-data/blob/hipster.txt;46935;ada79f82-1ec1-4e25-a7d1-c3a2f93e895a;2023-02-01T01:38:12;2023-01-31T15:48:13;2023-01-31T15:49:08;2023-02-01T12:19:50;2023-01-31T19:31:47
9;Borders Rustic Marks;wireless Senior;Nauru supply-chains Facilitator;monitoring;Licensed definition;../fake-data/blob/hipster.txt;Research Account;even-keeled Avon;17822;../fake-data/blob/hipster.txt;29249;9c21f4a2-1358-499e-a179-846d38b755a3;2023-02-01T04:36:04;2023-02-01T00:11:56;2023-01-31T21:54:52;2023-01-31T21:59:41;2023-01-31T17:45:57
10;SMS;Specialist Practical AI;Loaf Open-source;Forges Dakota Licensed;24/365;../fake-data/blob/hipster.txt;Checking Soft;Cambridgeshire;10093;../fake-data/blob/hipster.txt;69208;c909f51a-3ac5-4608-ab89-99ecf36c59d2;2023-02-01T06:07:23;2023-02-01T03:40:18;2023-01-31T23:01:45;2023-01-31T19:13:25;2023-02-01T00:30:57
