id;issue_id;issue_uuid;username;role_key;role_weight;department_key;department_weight;created;modified;accepted;microapp_left;closed;archived
1;65754;80c678af-5e0c-4c03-bb5c-e961b3b48bcb;e-business Market payment;Ergonomic flexibility;91887;District Berkshire Berkshire;83486;2023-01-31T23:26:35;2023-01-31T20:00:57;2023-01-31T13:59:49;2023-02-01T01:15:57;2023-02-01T00:11:31;2023-02-01T12:53:12
2;14725;403199d9-5cf9-43e6-a324-e106028e600c;optical Bedfordshire;Analyst web-enabled cyan;56027;even-keeled;94548;2023-01-31T15:14:34;2023-02-01T12:19:54;2023-02-01T03:45:53;2023-02-01T05:41:19;2023-01-31T19:51:05;2023-01-31T19:13:48
3;60298;3d9fa990-6400-47d1-8579-fe9710091926;redundant THX;Brand;12573;Car;27982;2023-01-31T22:18:39;2023-01-31T18:46:47;2023-01-31T15:18:20;2023-01-31T18:05:17;2023-02-01T01:33:29;2023-01-31T17:56:17
4;18693;bd7b316d-c2f2-4be7-bd04-311a891e967a;Developer;invoice SQL;12673;HTTP;74830;2023-02-01T01:18:15;2023-02-01T08:09:13;2023-02-01T04:22:37;2023-02-01T12:08:12;2023-01-31T13:52:37;2023-02-01T04:39:47
5;95473;97b1aed0-4fe6-4cb2-9323-ff35a2311445;productize Account;empowering;38943;program;59333;2023-01-31T17:10:32;2023-01-31T23:30:47;2023-01-31T17:00:00;2023-02-01T05:20:24;2023-02-01T02:35:35;2023-02-01T01:28:52
6;19993;8a699b72-1158-44b9-9013-7f48e863df10;Greenland;program deposit Station;85365;firewall;69299;2023-02-01T04:37:04;2023-01-31T18:46:42;2023-01-31T21:04:24;2023-01-31T17:06:44;2023-02-01T07:08:40;2023-02-01T09:37:30
7;30668;3c5a65ac-6d74-4de0-a366-285641453ee3;Spurs Customer Car;Wooden;67977;solution Loan;21450;2023-02-01T10:20:33;2023-02-01T03:11:02;2023-02-01T10:51:29;2023-02-01T01:20:13;2023-01-31T15:50:09;2023-02-01T12:38:53
8;13027;d1700e9a-b4fa-46a2-bca7-73553c173264;withdrawal Engineer Sleek;Awesome panel;60158;Stream Bike Generic;74879;2023-02-01T11:55:54;2023-02-01T06:38:07;2023-02-01T02:28:18;2023-01-31T22:53:11;2023-01-31T23:51:52;2023-01-31T14:18:36
9;79728;b31fc660-d820-4f23-a750-a93f3708e0bc;neural flexibility Ergonomic;Borders XML Steel;45517;Virtual open-source hack;55231;2023-02-01T04:01:21;2023-01-31T23:04:53;2023-01-31T15:39:38;2023-02-01T09:25:54;2023-02-01T07:11:21;2023-01-31T16:23:26
10;7264;2968986e-d722-429e-aa73-05fefa3dbac5;Jewelery Sleek Ringgit;National back-end;53105;Electronics;44661;2023-01-31T21:56:54;2023-02-01T08:11:51;2023-02-01T07:11:04;2023-02-01T04:16:07;2023-02-01T02:38:18;2023-02-01T06:14:20
