id;microapp_key;type;weight;color;icon;description;parent_type;is_active;created;modified;archived
1;Planner;deploy;19960;turquoise;payment;../fake-data/blob/hipster.txt;reboot;false;2023-02-01T09:32:26;2023-02-01T00:49:22;2023-02-01T12:18:37
2;Electronics frictionless Identity;bypass Chief;62266;ivory;red Computers Forward;../fake-data/blob/hipster.txt;Seamless Digitized solution;true;2023-01-31T16:52:00;2023-02-01T10:30:21;2023-02-01T12:41:40
3;Facilitator;Principal open-source;77796;ivory;Idaho Auto;../fake-data/blob/hipster.txt;Handmade algorithm partnerships;true;2023-01-31T16:46:59;2023-02-01T05:09:25;2023-02-01T11:13:22
4;Organic;Lake auxiliary Steel;70899;magenta;Computer incremental;../fake-data/blob/hipster.txt;Strategist;true;2023-01-31T15:27:24;2023-02-01T11:35:15;2023-02-01T06:43:42
5;solution-oriented Coordinator open-source;Islands Gorgeous;19259;ivory;infrastructures;../fake-data/blob/hipster.txt;Associate Djibouti grey;true;2023-01-31T15:18:43;2023-02-01T06:56:15;2023-01-31T17:24:28
6;Keyboard Automotive;redundant orange Producer;44824;olive;Table website;../fake-data/blob/hipster.txt;indexing Senior sky;false;2023-02-01T10:41:49;2023-01-31T13:26:14;2023-02-01T11:08:50
7;Chips foreground;Metal modular Key;77168;pink;Loan Administrator;../fake-data/blob/hipster.txt;Macedonia;true;2023-02-01T08:28:20;2023-02-01T09:25:28;2023-02-01T01:47:30
8;Tasty Martinique Fantastic;Chair;46163;salmon;Outdoors visionary Orchestrator;../fake-data/blob/hipster.txt;reboot;false;2023-02-01T12:51:01;2023-01-31T16:40:15;2023-02-01T11:39:56
9;Pants web-enabled Belize;Books Regional;83334;indigo;Market RAM;../fake-data/blob/hipster.txt;Solomon;false;2023-02-01T09:50:08;2023-01-31T18:07:27;2023-01-31T20:21:49
10;Optimization Savings;Web connect;99168;cyan;Granite;../fake-data/blob/hipster.txt;Electronics Forks Steel;false;2023-01-31T19:09:18;2023-01-31T21:14:51;2023-02-01T00:01:50
